title,artist,needed_session,extra_session,url,author_note,sheet_sessions
비와 당신의 이야기,부활,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
사랑할수록,부활,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
기억해줘요 내 모든 날과 밤을,부활,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
나는 왜,부활,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
슬픔을 이겨야 해,부활,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
비가 내리면,시나위,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
쉬어가는 자리,시나위,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
언제나 그대 내 곁에,N.EX.T,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,,,
도시인,N.EX.T,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,,,
인형의 기사,N.EX.T,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,,,
기차,자우림,"Vocal,Guitar1,Bass,Drum",,,,
스물다섯 스물하나,자우림,"Vocal,Guitar1,Bass,Drum",,,,
하하하송,자우림,"Vocal,Guitar1,Bass,Drum",,,,
Don't Cry,YB,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
세상의 중심에서,YB,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
노땐스,노브레인,"Vocal,Guitar1,Bass,Drum",,,,
전사의 후예,들국화,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
메아리,들국화,"Vocal,Guitar1,Bass,Drum",,,,
이 땅에 태어나서,봄여름가을겨울,"Vocal,Guitar1,Keyboard,Bass,Drum",,,,
나의 외로움이 널 부를 때,봄여름가을겨울,"Vocal,Guitar1,Keyboard,Bass,Drum",,,,
고래싸움,NELL,"Vocal,Guitar1,Bass,Drum",,,,
The Day Before,NELL,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
사랑이라는 이유로,신해철,"Vocal,Guitar1,Keyboard,Bass,Drum",,,,
그대에게,신해철,"Vocal,Guitar1,Keyboard,Bass,Drum",,,,
재즈카페,신해철,"Vocal,Guitar1,Keyboard,Bass,Drum",,,,
Bohemian Rhapsody,Queen,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
We Will Rock You,Queen,"Vocal,Guitar1,Bass,Drum",,,,
Don't Stop Me Now,Queen,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Somebody to Love,Queen,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Stairway to Heaven,Led Zeppelin,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Black Dog,Led Zeppelin,"Vocal,Guitar1,Bass,Drum",,,,
Whole Lotta Love,Led Zeppelin,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Hotel California,Eagles,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Sweet Child O' Mine,Guns N' Roses,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
November Rain,Guns N' Roses,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,,,
Paradise City,Guns N' Roses,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Highway to Hell,AC/DC,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Back in Black,AC/DC,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Thunderstruck,AC/DC,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
Smoke on the Water,Deep Purple,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Child in Time,Deep Purple,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Highway Star,Deep Purple,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Paranoid,Black Sabbath,"Vocal,Guitar1,Bass,Drum",,,,
Iron Man,Black Sabbath,"Vocal,Guitar1,Bass,Drum",,,,
Crazy Train,Ozzy Osbourne,"Vocal,Guitar1,Bass,Drum",,,,
Jump,Van Halen,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Panama,Van Halen,"Vocal,Guitar1,Bass,Drum",,,,
Livin' on a Prayer,Bon Jovi,"Vocal,Guitar1,Bass,Drum,Keyboard",,,,
Wanted Dead or Alive,Bon Jovi,"Vocal,Guitar1,Guitar2,Bass,Drum",,,,
