title,artist,needed_session,extra_session,url,author_note,sheet_sessions
ㄷㅅㅎㅅ,Gwon.U,"Vocal,Guitar1,Bass,Drum",,https://www.youtube.com/watch?v=AXLu3fEW3L4&list=RDAXLu3fEW3L4&start_radio=1,,
Home Sweet Home,Gwon.U,"Vocal,Guitar1,Guitar2,Bass,Drum",,https://www.youtube.com/watch?v=oN_ZMCn5qXE&list=RDoN_ZMCn5qXE&start_radio=1,,
Aluminium,브로큰 발렌타인,"Vocal,Guitar1,Guitar2,Bass,Drum",,https://www.youtube.com/watch?v=CnL10_X0hv0&list=RDCnL10_X0hv0&start_radio=1,,
L I F E,브로큰 발렌타인,"Vocal,Guitar1,Guitar2,Bass,Drum",,https://www.youtube.com/watch?v=xi-kcaH8W28&list=RDxi-kcaH8W28&start_radio=1,,
Give it Away,RHCP,"Vocal,Guitar1,Bass,Drum",,https://www.youtube.com/watch?v=2Wx_UG_UjTY&list=RD2Wx_UG_UjTY&start_radio=1,,
Pretender,OFFICIAL HIGE DANDISM,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,https://www.youtube.com/watch?v=TQ8WlA2GXbk&list=RDTQ8WlA2GXbk&start_radio=1,,
僕の右手,Paranmaum,"Vocal,Guitar1,Bass,Drum",,https://www.youtube.com/watch?v=FMa01tpOewg&list=RDFMa01tpOewg&start_radio=1,,
비구름,파아란,"Vocal,Guitar1,Guitar2,Bass,Drum",,https://www.youtube.com/watch?v=a3b5wv2wUa0&list=RDa3b5wv2wUa0&start_radio=1,,
黒船 (嘉永6年6月4日),Sadistic Mika Band,"Vocal,Guitar1,Guitar2,Bass,Drum",,https://www.youtube.com/watch?v=qD8-C-PMarM&list=RDqD8-C-PMarM&start_radio=1,,
Can't We Start It All Over Again,Fujimaru Band,"Vocal,Bass,Drum,Keyboard",Flute,https://www.youtube.com/watch?v=WNjkxpZ0PfA&list=RDWNjkxpZ0PfA&start_radio=1,,
Seasons,Wave To Earth,"Vocal,Guitar1,Bass,Drum,Keyboard",,https://www.youtube.com/watch?v=CnVVjLOGVoY&list=RDCnVVjLOGVoY&start_radio=1,,
새야 날아라,WONHO,"Vocal,Guitar1,Bass,Drum,Keyboard",통기타,https://www.youtube.com/watch?v=Sx7VtVYOM5I&list=RDSx7VtVYOM5I&start_radio=1,,
You Get What You Give,New Radicals,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,https://www.youtube.com/watch?v=DL7-CKirWZE&list=RDDL7-CKirWZE&start_radio=1,,
Black Bird,Alter Bridge,"Vocal,Guitar1,Guitar2,Bass,Drum",,https://www.youtube.com/watch?v=ISBIht69fkE&list=RDISBIht69fkE&start_radio=1,,
마냥 걷는다,장기하와 얼굴들,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,https://www.youtube.com/watch?v=38r5xcey2lA&list=RD38r5xcey2lA&start_radio=1,,
Welcome To The Black Parade,My Chemical Romance,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",G3,https://www.youtube.com/watch?v=RRKJiM9Njr8&list=RDRRKJiM9Njr8&start_radio=1,,
Na Na Na,My Chemical Romance,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,https://www.youtube.com/watch?v=egG7fiE89IU&list=RDegG7fiE89IU&start_radio=1,,
A,데카당,"Vocal,Guitar1,Bass,Drum",Chorus,https://www.youtube.com/watch?v=n8s42FLluGs&list=RDn8s42FLluGs&start_radio=1,,
섬,김바다,"Vocal,Guitar1,Guitar2,Bass,Drum",,https://www.youtube.com/watch?v=lvY0rwaUpds&list=RDlvY0rwaUpds&start_radio=1,,
서로 다른,서울전자음악단,"Vocal,Guitar1,Guitar2,Bass,Drum",,https://www.youtube.com/watch?v=XEmlHjjVtPs&list=RDXEmlHjjVtPs&start_radio=1,,
キラーチューン,東京事変(Tokyo Jihen),"Vocal,Guitar1,Bass,Drum,Keyboard",,https://www.youtube.com/watch?v=lC8la4l4RhQ&list=RDlC8la4l4RhQ&start_radio=1,,
우리의 밤은 당신의 낮보다 아름답다,쏜애플,"Vocal,Guitar1,Guitar2,Bass,Drum",,https://www.youtube.com/watch?v=mKOOH3_xXj0&list=RDmKOOH3_xXj0&start_radio=1,,
낭만젊음사랑,ESEGYE,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,https://www.youtube.com/watch?v=J8F-sVVNPZg&list=RDJ8F-sVVNPZg&start_radio=1,,
파도,새소년,"Vocal,Bass,Drum,Keyboard",,https://www.youtube.com/watch?v=HdkSpALG3A4&list=RDHdkSpALG3A4&start_radio=1,,
꽃밭,이준형,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,https://www.youtube.com/watch?v=1pp0N7F2m_E&list=RD1pp0N7F2m_E&start_radio=1,,
우리 사랑은,찰리빈웍스,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",,https://www.youtube.com/watch?v=PhL1u3Hn4ok&list=RDPhL1u3Hn4ok&start_radio=1,,
Champagne Supernova,Oasis,"Vocal,Guitar1,Guitar2,Bass,Drum,Keyboard",탬버린,https://www.youtube.com/watch?v=tI-5uv4wryI&list=RDtI-5uv4wryI&start_radio=1,,
Smells Like Teen Spirit,Nirvana,"Vocal,Guitar1,Guitar2,Bass,Drum",,https://www.youtube.com/watch?v=hTWKbfoikeg&list=RDhTWKbfoikeg&start_radio=1,,
